,title,date,location,description,category,url,coordenadasLocalidad,estadoCielo,probPrecipitacion,sensTermMax,sensTermMin,temperaturaMax,temperaturaMin
21,Marta Solís,2019-11-13 20:30:00,"La Casona, santa ursula",Concierto de la cantautora Marta Solís con banda.  La premiada en el Festival de la Canción de Benidorm en 2002 brindará su mirada de la canción de autor.,cantautor,https://www.lagenda.org/programacion/marta-solis-santa-ursula-casona-san-luis-noviembre-2019-concierto-13959,"[28.42, -16.49]",0.99,0.22,18.83,14.96,19.11,14.69
22,Otoño Cultural 2019: Lara-Clare Bourdeaux,2019-11-13 20:00:00,"Espacio Cultural CajaCanarias Santa Cruz, santa cruz",Concierto Galardonados Premio de Música María Orán 2019 que organiza anualmente la Fundación CajaCanarias con la soprano inglesa Lara-Clare Bourdeaux,clasica,https://www.lagenda.org/programacion/otono-cultural-2019-lara-clare-bourdeaux-cajacanarias-santa-cruz-12907,"[28.46, -16.25]",0.98,0.16,23.36,19.8,23.64,19.53
23,Dejarse leer: Lecturas sobre cuerpo y filosofía en la Biblioteca,2019-11-13 19:00:00,"Biblioteca Municipal de La Laguna, la laguna","Un proyecto simple y complejo a la vez donde el cuerpo y la voz de quien lee y de quien escucha componen una suerte de coreografías minúsculas. Un encuentro en torno a textos seleccionados donde la filosofía, el cuerpo, la escena, lo público, la presencia, la danza, la política o la ciudad se entrecruzan ofreciendo lecturas que son atendidas como conciertos en los que el público escucha y se deja activamente leer en un ejercicio de resistencia cultural y de disposición hacia nuevos conocimientos desde lo cercano, desde la experiencia antigua e inocente de dejarse acunar y sorprender por las palabras y las narraciones de otros.",literatura y poesía,https://www.lagenda.org/programacion/dejarse-leer-lecturas-sobre-cuerpo-filosofia-biblioteca-laguna-noviembre-2019-14061,"[28.49, -16.32]",0.99,0.19,17.11,14.15,17.29,13.64
24,Exposaldo 2019,2019-11-13 11:00:00,"Recinto Ferial, santa cruz","Mayor evento en Canarias dedicado a la venta de productos de liquidación, ofertas, remates y saldos. En la Feria se podrá encontrar: textil, complementos, calzado, electrodomésticos, ferretería, muebles, menaje, decoración, juguetes, motos o vehículos de ocasión.",moda,https://www.lagenda.org/programacion/exposaldo-2019-recinto-ferial-tenerife-santa-cruz-noviembre-2019-14064,"[28.46, -16.25]",0.98,0.16,23.36,19.8,23.64,19.53
29,Jornada de clausura Taller de escritura 2019,2019-11-13 19:00:00,"Ámbito Cultural El Corte Inglés, santa cruz",,literatura y poesía,https://www.lagenda.org/programacion/jornada-de-clausura-taller-de-escritura-2019-13909,"[28.46, -16.25]",0.98,0.16,23.36,19.8,23.64,19.53
30,Telón 2019: 'Pogüerful' de Bibiana Monje,2019-11-13 20:30:00,"Sala Timanfaya, puerto de la cruz","Pogüerful es una comedia dramática teatral (multidisciplinar) con tintes absurdos y surrealistas, cuyos temas principales son el potencial humano, la forma de vida occidental contemporánea y la magia protagonizada por la actriz canaria Bibiana Monje. Obra dentro del festival de Artes Escénicas de Tenerife telón 2019.",comedia,https://www.lagenda.org/programacion/poguerful-bibiana-monje-paraninfo-ull-telon-noviembre-2019-14079,"[28.41, -16.54]",0.99,0.21,20.78,17.18,21.06,16.91
31,Presentación: 'Relatos',2019-11-13 18:00:00,"MAC-Casa Elder, santa cruz","Presentación de la obra de Alberto Omar Walls 'Relatos'. iIntervendrán junto al autor, los escritores Felicidad Batista, Jose Luis Oliva y Masaki Hatomi.",literatura y poesía,https://www.lagenda.org/programacion/presentacion-relatos-alberto-omar-walls-sala-mac-santa-cruz-noviembre-2019-14178,"[28.46, -16.25]",0.98,0.16,23.36,19.8,23.64,19.53
33,VIII Edición 'Sonidos de Noviembre',2019-11-13 00:00:00,"Municipio de Garachico, municipio de garachico",Octava edición  'Sonidos de Noviembre' por diferentes lugares de Garachico durante el presente mes. Consulta la programación en la ampliación mas abajo.,musica,https://www.lagenda.org/programacion/viii-edicion-sonidos-de-noviembre-programa-conciertos-garachico-noviembre-2019-14185,"[28.37, -16.76]",0.95,0.12,23.65,19.63,23.93,19.36
39,'Una leyenda llamada Los Panchos',2019-11-13 20:30:00,"Teatro Leal, la laguna","Rafael Basurto Lara, último integrante original del trío, nos cuenta la historia de su agrupación, a través de su voz y arropado por imagen de archivo, nos relata esta historia de 75 años. El espectáculo musical, pretende llegar al corazón de todos aquellos que los aplaudieron y despertar el romanticismo y admiración en tantos jóvenes sedientos del clásico bolero romántico.",latina,https://www.lagenda.org/programacion/rafael-basurto-una-leyenda-llamada-los-panchos-75-aniversario-13895,"[28.49, -16.32]",0.99,0.19,17.11,14.15,17.29,13.64
142,Afrotopos. Hacia una utopía africana,2019-11-12 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]",0.77,0.27,23.38,20.02,23.66,19.74
143,Afrotopos. Hacia una utopía africana,2019-11-13 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]",0.98,0.16,23.36,19.8,23.64,19.53
199,'Un oficio Indecible',2019-11-12 00:00:00,"Espacio Cultural CajaCanarias Santa Cruz, santa cruz","La curiosidad que permitió a Manuel Padorno soltar ese pájaro invisible, alimentó a este buscador incansable de caminos más allá de la palabra. A través de la pintura, pudo liberar su fascinación desmedida por la vida. 'Un oficio Indecible' va a recorrer los lugares donde Manuel Padorno decidió adentrarse en un diálogo honesto con la pintura y sus maestros.",pintura,https://www.lagenda.org/programacion/manuel-padorno-un-oficio-indecible-espacio-cajacanarias-santa-cruz-octubre-2019-13657,"[28.46, -16.25]",0.77,0.27,23.38,20.02,23.66,19.74
200,'Un oficio Indecible',2019-11-13 00:00:00,"Espacio Cultural CajaCanarias Santa Cruz, santa cruz","La curiosidad que permitió a Manuel Padorno soltar ese pájaro invisible, alimentó a este buscador incansable de caminos más allá de la palabra. A través de la pintura, pudo liberar su fascinación desmedida por la vida. 'Un oficio Indecible' va a recorrer los lugares donde Manuel Padorno decidió adentrarse en un diálogo honesto con la pintura y sus maestros.",pintura,https://www.lagenda.org/programacion/manuel-padorno-un-oficio-indecible-espacio-cajacanarias-santa-cruz-octubre-2019-13657,"[28.46, -16.25]",0.98,0.16,23.36,19.8,23.64,19.53
255,'Fetiches',2019-11-12 00:00:00,"Sala de Arte Bronzo, la laguna",Exposición donde el artista gomero Luis Alberto Hernández  presenta su obra tridimensional más reciente.,escultura,https://www.lagenda.org/programacion/fetiches-espacio-bronzo-luis-alberto-hernandez-13837,"[28.49, -16.32]",0.81,0.28,17.67,14.53,17.64,13.9
256,'Fetiches',2019-11-13 00:00:00,"Sala de Arte Bronzo, la laguna",Exposición donde el artista gomero Luis Alberto Hernández  presenta su obra tridimensional más reciente.,escultura,https://www.lagenda.org/programacion/fetiches-espacio-bronzo-luis-alberto-hernandez-13837,"[28.49, -16.32]",0.99,0.19,17.11,14.15,17.29,13.64
276,"'Tiempo, memoria, ficciones: 30 años del Centro de Fotografía Isla de Tenerife'",2019-11-12 00:00:00,"Colegio de Arquitectos, santa cruz","La muestra conmemora la creación del Centro de Fotografía Isla de Tenerife con más de medio centenar de fotografías firmadas por artistas de la talla de Català-Roca, David LaChapelle, Carmela García, Poldo Cebrián, Isabel Muñoz, Bernard Plossu, Carlos A. Schwartz, Teresa Arozena o Pilar Pequeño. Además, esta exposición, la primera que se dedica expresamente a mostrar parte del trabajo y colección del Centro de Fotografía, muestra también una pequeña parte de su colección histórica a través fotografías de Carl Norman, Adalberto Benítez o Ernesto Baena.",cultura,https://www.lagenda.org/programacion/tiempo-memoria-ficciones-30-anos-centro-fotografia-isla-tenerife-colegio-arquitectos,"[28.46, -16.25]",0.77,0.27,23.38,20.02,23.66,19.74
277,"'Tiempo, memoria, ficciones: 30 años del Centro de Fotografía Isla de Tenerife'",2019-11-13 00:00:00,"Colegio de Arquitectos, santa cruz","La muestra conmemora la creación del Centro de Fotografía Isla de Tenerife con más de medio centenar de fotografías firmadas por artistas de la talla de Català-Roca, David LaChapelle, Carmela García, Poldo Cebrián, Isabel Muñoz, Bernard Plossu, Carlos A. Schwartz, Teresa Arozena o Pilar Pequeño. Además, esta exposición, la primera que se dedica expresamente a mostrar parte del trabajo y colección del Centro de Fotografía, muestra también una pequeña parte de su colección histórica a través fotografías de Carl Norman, Adalberto Benítez o Ernesto Baena.",cultura,https://www.lagenda.org/programacion/tiempo-memoria-ficciones-30-anos-centro-fotografia-isla-tenerife-colegio-arquitectos,"[28.46, -16.25]",0.98,0.16,23.36,19.8,23.64,19.53
302,Festival de Cortos La Orotava 2019: 'Retratos casi desconocines',2019-11-12 00:00:00,"La Orotava, orotava",Exposición titulada 'Retratos casi desconocines'  dentro del Festival de Cortos La Orotava 2019,fotografía,https://www.lagenda.org/programacion/festival-cortos-la-orotava-2019-retratos-casi-desconocines-noviembre-exposicion-13953,"[28.39, -16.52]",0.77,0.22,20.54,15.92,20.81,15.65
303,Festival de Cortos La Orotava 2019: 'Retratos casi desconocines',2019-11-13 00:00:00,"La Orotava, orotava",Exposición titulada 'Retratos casi desconocines'  dentro del Festival de Cortos La Orotava 2019,fotografía,https://www.lagenda.org/programacion/festival-cortos-la-orotava-2019-retratos-casi-desconocines-noviembre-exposicion-13953,"[28.39, -16.52]",0.99,0.21,20.36,16.56,20.64,16.29
393,'La sustancia del color',2019-11-12 00:00:00,"Fundación Cristino de Vera-Espacio Cultural CajaCanarias, la laguna","Muestra integrada por una veintena de obras –pinturas y dibujos- realizadas por el artista grancanario, Nicolás Massieu y Matos, en el periodo comprendido entre 1901 y 1949.",pintura,https://www.lagenda.org/programacion/nicolas-massieu-matos-sustancia-color-exposicion-cristino-vera-laguna-noviembre-2019,"[28.49, -16.32]",0.81,0.28,17.67,14.53,17.64,13.9
394,'La sustancia del color',2019-11-13 00:00:00,"Fundación Cristino de Vera-Espacio Cultural CajaCanarias, la laguna","Muestra integrada por una veintena de obras –pinturas y dibujos- realizadas por el artista grancanario, Nicolás Massieu y Matos, en el periodo comprendido entre 1901 y 1949.",pintura,https://www.lagenda.org/programacion/nicolas-massieu-matos-sustancia-color-exposicion-cristino-vera-laguna-noviembre-2019,"[28.49, -16.32]",0.99,0.19,17.11,14.15,17.29,13.64
506,'Un oficio indecible',2019-11-12 00:00:00,"Espacio Cultural CajaCanarias Santa Cruz, santa cruz","Esta exposición, que la Fundación CajaCanarias inaugura en el ochenta y seis aniversario de su nacimiento, forma parte de un camino que permitirá ahondar en la comprensión de un artista total. Este viaje se inició el 30 de septiembre de 2016, cuando la fundación comienza a publicar sus 'Obras Completas', que recogen la voz de un hombre que se movía en el umbral del asombro para permitirnos 'ver lo que no se ve'.",pintura,https://www.lagenda.org/programacion/expo-manuel-padorno-un-oficio-indecible-espacio-cultural-cajacanarias-13592,"[28.46, -16.25]",0.77,0.27,23.38,20.02,23.66,19.74
507,'Un oficio indecible',2019-11-13 00:00:00,"Espacio Cultural CajaCanarias Santa Cruz, santa cruz","Esta exposición, que la Fundación CajaCanarias inaugura en el ochenta y seis aniversario de su nacimiento, forma parte de un camino que permitirá ahondar en la comprensión de un artista total. Este viaje se inició el 30 de septiembre de 2016, cuando la fundación comienza a publicar sus 'Obras Completas', que recogen la voz de un hombre que se movía en el umbral del asombro para permitirnos 'ver lo que no se ve'.",pintura,https://www.lagenda.org/programacion/expo-manuel-padorno-un-oficio-indecible-espacio-cultural-cajacanarias-13592,"[28.46, -16.25]",0.98,0.16,23.36,19.8,23.64,19.53
566,"‘Orígenes de la  imprenta en Canarias: el arte tipográfico en Tenerife, 1750 -1950’",2019-11-12 00:00:00,"Biblioteca Municipal Central - TEA, santa cruz","Orígenes de la imprenta en Canarias’ estará integrada fundamentalmente por libros y folletos de diversa temática procedentes del fondo antiguo de la biblioteca, que fueron editados por las principales imprentas de la isla, así como publicaciones periódicas y documentos del fondo de manuscritos (cuentas y cartas). Asimismo se han incluido dos tórculos de la imprenta Benítez, matrices de grabados usados en la imprenta y reproducciones de las marcas de impresor más importantes. La exposición se complementa con fotográficas. Entre las publicaciones periódicas figuran ‘El amigo del País’, ‘Semanario misceláneo enciclopédico elemental’, ‘El Guanche’, ‘El Auxiliar’, ‘La Aurora’, etc.), así como documentos del fondo de manuscritos (cuentas, cartas, etc.).",historia y etnografía,https://www.lagenda.org/programacion/origenes-de-la-imprenta-en-canarias-el-arte-tipografico-en-tenerife-1750-1950-13944,"[28.46, -16.25]",0.77,0.27,23.38,20.02,23.66,19.74
567,"‘Orígenes de la  imprenta en Canarias: el arte tipográfico en Tenerife, 1750 -1950’",2019-11-13 00:00:00,"Biblioteca Municipal Central - TEA, santa cruz","Orígenes de la imprenta en Canarias’ estará integrada fundamentalmente por libros y folletos de diversa temática procedentes del fondo antiguo de la biblioteca, que fueron editados por las principales imprentas de la isla, así como publicaciones periódicas y documentos del fondo de manuscritos (cuentas y cartas). Asimismo se han incluido dos tórculos de la imprenta Benítez, matrices de grabados usados en la imprenta y reproducciones de las marcas de impresor más importantes. La exposición se complementa con fotográficas. Entre las publicaciones periódicas figuran ‘El amigo del País’, ‘Semanario misceláneo enciclopédico elemental’, ‘El Guanche’, ‘El Auxiliar’, ‘La Aurora’, etc.), así como documentos del fondo de manuscritos (cuentas, cartas, etc.).",historia y etnografía,https://www.lagenda.org/programacion/origenes-de-la-imprenta-en-canarias-el-arte-tipografico-en-tenerife-1750-1950-13944,"[28.46, -16.25]",0.98,0.16,23.36,19.8,23.64,19.53
642,'Unleashed',2019-11-12 00:00:00,"Artizar, la laguna","Como en un cadáver exquisito, Roger Ballen (Nueva York, 1950) y Hans Lemmen (Venlo, 1959) disfrutan del inquietante juego de trabajar en pareja, empujados mutuamente por lo que cada uno incorpora al enfoque del otro. Una restricción que estimula más allá del juego artístico, despertando ecos más formales que revelan una profunda afinidad entre sus dos mundos.",arte,https://www.lagenda.org/programacion/unleashed-14128,"[28.49, -16.32]",0.81,0.28,17.67,14.53,17.64,13.9
643,'Unleashed',2019-11-13 00:00:00,"Artizar, la laguna","Como en un cadáver exquisito, Roger Ballen (Nueva York, 1950) y Hans Lemmen (Venlo, 1959) disfrutan del inquietante juego de trabajar en pareja, empujados mutuamente por lo que cada uno incorpora al enfoque del otro. Una restricción que estimula más allá del juego artístico, despertando ecos más formales que revelan una profunda afinidad entre sus dos mundos.",arte,https://www.lagenda.org/programacion/unleashed-14128,"[28.49, -16.32]",0.99,0.19,17.11,14.15,17.29,13.64
