,title,date,location,description,category,url,coordenadasLocalidad,estadoCielo,probPrecipitacion,sensTermMax,sensTermMin,temperaturaMax,temperaturaMin
0,Telón 2019: 'TheRoomToBe',2019-11-11 20:30:00,"Paraninfo, la laguna","Durante esta semana del 11 al 14 de noviembre de 2019, en el Paraninfo de la Universidad de La Laguna, podremos ver un interesantísimo Ciclo de Teatro Canario a cargo de las compañías, Burka, Delirium, Impulso, Laboratorio Galdós y Bolina Títeres. Esta última ofrece el miércoles 13 a las 10:30 una función para escolares.",drama,https://www.lagenda.org/programacion/telon-2019-theroomtobe-14200,"[28.49, -16.32]",0.72,0.13,17.58,13.94,17.62,13.49
3,Taller de música y expresión,2019-11-12 17:30:00,"Biblioteca Pública del Estado, santa cruz",Taller para adultos cuyo objetivo es facilitar la interrelación con los demás y el autoconocimiento usando técnicas propias de la Musicoterapia.,musica,https://www.lagenda.org/programacion/taller-de-musica-expresion-cristina-diaz-r-noviembre-2019-14060,"[28.46, -16.25]",0.77,0.27,23.38,20.02,23.66,19.74
7,'Gramola Music Show',2019-11-12 22:00:00,"El Rincón de Tintín, la laguna","El micro abierto Gramola Music Show regresa todos los martes. Trae tu arte al escenario, sea cantar, tocar música, bailar, hacer monólogos o disfruta de una gran noche con la gran selección de cervezas del Tintín y el invitado especial de la noche. Organizado por los Swingvergüenzas.",alternativa,https://www.lagenda.org/programacion/gramola-music-show-rincon-tintin-la-laguna-micro-abierto-noviembre-2019-14083,"[28.49, -16.32]",0.81,0.28,17.67,14.53,17.64,13.9
10,Telón 2019: Proyecto Fausto,2019-11-12 20:30:00,"Paraninfo, la laguna","Inspirado en el caso del pesquero canario Fausto, un barco que en 1968 desapareció de forma totalmente inexplicable mientras cubría la ruta entre las islas de El Hierro y La Palma con tres pescadores y un pasajero a bordo. Una historia contada a través de la voz de cuatro mujeres, condenadas a la soledad del que espera. Obra enmarcada dentro del Festival de Artes Escénicas Telón,",drama,https://www.lagenda.org/programacion/proyecto-fausto-delirium-teatro-paraninfo-ull-noviembre-2019-14075,"[28.49, -16.32]",0.81,0.28,17.67,14.53,17.64,13.9
11,Festival de Cortos La Orotava 2019: 'Sección OFF',2019-11-12 16:00:00,"La Orotava, orotava",Selección de cortometrajes fuera de concurso.,cortometraje,https://www.lagenda.org/programacion/festival-cortos-la-orotava-2019-seccion-parte-baja-orotava-octubre-2019-13932,"[28.39, -16.52]",0.77,0.22,20.54,15.92,20.81,15.65
12,Festival de Cortos La Orotava 2019: 'Sección OFF',2019-11-13 16:00:00,"La Orotava, orotava",Selección de cortometrajes fuera de concurso.,cortometraje,https://www.lagenda.org/programacion/festival-cortos-la-orotava-2019-seccion-parte-baja-orotava-octubre-2019-13932,"[28.39, -16.52]",0.99,0.21,20.36,16.56,20.64,16.29
15,Charla Viajeros: Cuba,2019-11-12 19:00:00,"Ámbito Cultural El Corte Inglés, santa cruz","Si te apasiona viajar, descubrir lugares exóticos, desconocidos y llenos de atractivos no puedes perderte el ciclo Viajeros del Ámbito Cultural",viajes,https://www.lagenda.org/programacion/charla-viajeros-cuba-13908,"[28.46, -16.25]",0.77,0.27,23.38,20.02,23.66,19.74
16,Festival de Cortos La Orotava 2019: 'Sección OFF',2019-11-12 16:00:00,"La Orotava, orotava",Selección de cortometrajes fuera de concurso.,cortometraje,https://www.lagenda.org/programacion/festival-cortos-la-orotava-2019-seccion-parte-baja-orotava-octubre-2019-13932,"[28.39, -16.52]",0.77,0.22,20.54,15.92,20.81,15.65
17,Festival de Cortos La Orotava 2019: 'Sección OFF',2019-11-13 16:00:00,"La Orotava, orotava",Selección de cortometrajes fuera de concurso.,cortometraje,https://www.lagenda.org/programacion/festival-cortos-la-orotava-2019-seccion-parte-baja-orotava-octubre-2019-13932,"[28.39, -16.52]",0.99,0.21,20.36,16.56,20.64,16.29
20,Festival de Cortos La Orotava 2019: 'Enlazados',2019-11-13 20:30:00,"Auditorio Teobaldo Power, la orotava",Proyección de cortometrajes de Danzattack. Festival de Danza y CineDanza dentro del festival de Cortos La Orotava.,danza,https://www.lagenda.org/programacion/festival-cortos-la-orotava-2019-enlazados-danzattack-auditorio-teobaldo-power-noviembre,"[28.39, -16.52]",0.99,0.21,20.36,16.56,20.64,16.29
